home_team,away_team,home_points,away_points
UT San Antonio,Army,29.0,37.0
Western Connecticut State,Westfield State,42.0,0.0
Union,Springfield,34.0,7.0
Air Force,Utah State,39.0,21.0
Kutztown,Mercyhurst,47.0,14.0
Limestone,Carson-Newman,45.0,14.0
Morrisville State,Catholic University,20.0,31.0
Shorter,Chowan,57.0,20.0
Lycoming,Utica,35.0,38.0
FDU-Florham,Stevenson,21.0,24.0
Glenville State,Notre Dame College,24.0,21.0
California (PA),Shepherd,34.0,44.0
Alfred State College,Husson,13.0,31.0
Gallaudet,University of New England,10.0,31.0
Hamilton,Bowdoin,12.0,26.0
Coast Guard,Nichols,49.0,42.0
SUNY Cortland,Susquehanna,35.0,38.0
Boise State,North Dakota,42.0,18.0
Buffalo,Liberty,27.0,55.0
UNC Pembroke,Charleston (WV),29.0,37.0
West Chester,Gannon,38.0,31.0
Lehigh,Cornell,20.0,23.0
Worcester State College,Fitchburg State,33.0,13.0
Illinois,Penn State,13.0,30.0
Bridgewater State,Plymouth State,41.0,19.0
Wilkes,Brockport State (NY),7.0,31.0
Yale,Holy Cross,24.0,49.0
Keystone,St. John Fisher,20.0,35.0
Ferrum,LaGrange College,13.0,10.0
Framingham State,UMass Dartmouth,7.0,33.0
Albion,Rose-Hulman,48.0,19.0
Indiana,Louisville,14.0,21.0
Baylor,Long Island University,30.0,7.0
Kent State,Central Connecticut,38.0,10.0
Mississippi State,LSU,14.0,41.0
Boston College,Florida State,29.0,31.0
Old Dominion,Wake Forest,24.0,27.0
Ohio,Iowa State,10.0,7.0
Wisconsin,Georgia Southern,35.0,14.0
Missouri,Kansas State,30.0,27.0
SUNY Maritime,Endicott College,0.0,27.0
Dean College,Buffalo State,7.0,41.0
Salve Regina,Rochester,10.0,17.0
Pace,Franklin Pierce,2.0,41.0
Lafayette,Columbia,24.0,3.0
Georgetown,Stonehill,20.0,23.0
Greensboro,Hampden-Sydney,28.0,58.0
Moravian,Apprentice School,29.0,28.0
Lebanon Valley,Misericordia,31.0,3.0
Oberlin,Denison,0.0,70.0
Bates College,Wesleyan,17.0,28.0
Shenandoah,Maryville TN,20.0,27.0
Carnegie Mellon,Waynesburg,41.0,10.0
Washington & Jefferson,Westminster PA,48.0,3.0
Rhodes,Centre,26.0,28.0
New Haven,Southern Connecticut State,34.0,7.0
Williams,Colby,25.0,22.0
King's College (PA),Albright,56.0,0.0
William Paterson,McDaniel College,35.0,14.0
Juniata,Hartwick,31.0,21.0
Kean,Dickinson,13.0,24.0
Alvernia University,Widener,7.0,57.0
Eastern University,Delaware Valley,6.0,29.0
Dayton,Taylor,52.0,20.0
Montclair State,Franklin & Marshall,25.0,31.0
Colgate,Pennsylvania,6.0,20.0
Marist,Davidson,21.0,49.0
Monmouth,Campbell,31.0,45.0
Sacred Heart,Wagner,10.0,17.0
Birmingham-Southern,Trinity (TX),3.0,38.0
Curry,MIT,20.0,16.0
Post University,Bentley,13.0,40.0
Western New England,St Lawrence,42.0,21.0
Alfred,Ithaca,0.0,22.0
Sul Ross State,Wayland Baptist,27.0,7.0
Mary Hardin-Baylor,UW-Whitewater,14.0,17.0
St. Anselm,American International,24.0,14.0
WV Wesleyan,Alderson-Broaddus,0.0,0.0
Frostburg State,West Liberty,37.0,7.0
Fairmont State,Wheeling Jesuit,37.0,43.0
Concord,West Virginia State,27.0,47.0
Olivet College,Hanover,17.0,67.0
Hope,Mount St. Joseph,40.0,35.0
Thiel College,Bethany (WV),22.0,14.0
St. Vincent,Allegheny,23.0,19.0
Nebraska-Kearney,Missouri Southern State,13.0,18.0
Southern Virginia,Randolph-Macon,10.0,51.0
DePauw,Hiram,49.0,0.0
Clarion,Lock Haven,20.0,21.0
Northwood (MI),Tiffin,27.0,34.0
Grand Valley State,Assumption,43.0,7.0
Minnesota St-Moorhead,McKendree,38.0,17.0
Bowie State,Shaw,21.0,7.0
Trine,Franklin,58.0,43.0
Kalamazoo,Defiance,42.0,35.0
Castleton State College,Norwich,14.0,28.0
Washington & Lee,Methodist,54.0,14.0
Huntingdon,Guilford,40.0,14.0
Harvard,St. Thomas (MN),45.0,13.0
East Stroudsburg,Seton Hill College,55.0,21.0
Baldwin-Wallace,John Carroll,7.0,30.0
Trinity (CT),Tufts,44.0,19.0
Capital,Muskingum,38.0,45.0
Marietta,Mount Union,0.0,28.0
North Central,Carthage,70.0,0.0
Ripon,Illinois College,21.0,52.0
Eureka College,Rockford,35.0,28.0
Quincy,UFTL,49.0,0.0
St. Scholastica,Crown College,38.0,18.0
Wisconsin-Eau Claire,Bethel (MN),0.0,24.0
Augsburg,Martin Luther College,62.0,0.0
Middlebury,Amherst College,21.0,7.0
Nebraska Wesleyan University,Simpson College,21.0,13.0
Howard Payne,Lyon College,85.0,0.0
Salisbury,Johns Hopkins,7.0,42.0
North Park,Carroll (WI),27.0,41.0
Illinois Wesleyan,Wheaton College (Ill),16.0,47.0
Benedictine (IL),Aurora,7.0,63.0
Ball State,Indiana State,45.0,7.0
UW-Stout,Gustavus Adolphus,24.0,7.0
Wartburg,Buena Vista,47.0,0.0
Millikin,Washington (MO),13.0,63.0
Lake Forest,Cornell College (IA),41.0,7.0
Temple,Norfolk State,41.0,9.0
NC State,VMI,45.0,7.0
Lawrence,Monmouth (IL),13.0,70.0
South Dakota,Lamar,35.0,6.0
Youngstown State,Robert Morris,48.0,28.0
Lakeland University,Concordia (WI),28.0,31.0
St. Norbert,Wisconsin Lutheran,37.0,32.0
Upper Iowa,Missouri S&T,38.0,26.0
Bridgewater (VA),NC Wesleyan,41.0,12.0
Hendrix College,Southwestern University,51.0,38.0
Sewanee Univ. of the South,Millsaps,27.0,21.0
Northwestern (MN),UW-River Falls,3.0,75.0
Wisconsin-Platteville,Michigan Tech,20.0,24.0
Northern Michigan,Wisconsin-La Crosse,3.0,34.0
Bloomsburg,Edinboro,13.0,23.0
Manchester,Greenville,7.0,59.0
East Texas Baptist,UW-Oshkosh,7.0,60.0
Eastern New Mexico,Western Oregon,30.0,29.0
Central Missouri State,Pittsburg State,37.0,38.0
Beloit College,Grinnell,23.0,33.0
Indiana (PA),Shippensburg,49.0,14.0
Colorado Mines,Adams State,70.0,7.0
Minot State,Minnesota State,25.0,52.0
Tuskegee,Central State,27.0,21.0
Central,Coe,11.0,19.0
Loras College,Luther,44.0,29.0
Eastern Michigan,UMass,19.0,17.0
Utah,Weber State,31.0,7.0
Southwest Baptist,University of Texas of the Permian Basin,7.0,86.0
Anna Maria College,Mass Maritime,37.0,30.0
Notre Dame,Central Michigan,41.0,17.0
Eastern Illinois,Illinois State,14.0,13.0
Truman State,Saginaw Valley,21.0,7.0
Adrian,Bluffton,23.0,15.0
Montana State,Stetson,57.0,20.0
Otterbein,Wilmington (OH),21.0,47.0
Grambling,Florida Memorial University,58.0,22.0
Chicago,Knox College,63.0,0.0
College of New Jersey,Muhlenberg,10.0,38.0
Morehouse,Albany State (GA),14.0,24.0
South Dakota Mines,Colorado Mesa,30.0,38.0
Bemidji State,Winona State,36.0,10.0
Lane,Benedict College,7.0,54.0
Minnesota-Duluth,Sioux Falls,42.0,34.0
Pacific Lutheran,Cal Lutheran,37.0,27.0
Central Oklahoma,Missouri Western,31.0,34.0
Minnesota-Morris,Carleton,12.0,38.0
Claremont,George Fox University,16.0,7.0
Georgia,South Carolina,24.0,14.0
Iowa,Western Michigan,41.0,10.0
Rutgers,Virginia Tech,35.0,16.0
Appalachian State,East Carolina,43.0,28.0
Tulsa,Oklahoma,17.0,66.0
Oregon State,San Diego State,26.0,9.0
Connecticut,Florida International,17.0,24.0
South Florida,Alabama,3.0,17.0
Duke,Northwestern,38.0,14.0
Richmond,Delaware State,38.0,6.0
Maine,Rhode Island,17.0,34.0
North Dakota State,Central Arkansas,49.0,31.0
North Carolina,Minnesota,31.0,13.0
South Dakota State,Drake,70.0,7.0
Howard,Hampton,34.0,35.0
Charleston Southern,William & Mary,7.0,15.0
Bryant,Brown,25.0,29.0
Ohio State,Western Kentucky,63.0,10.0
Northern Arizona,Utah Tech,36.0,50.0
Southern Mississippi,Tulane,3.0,21.0
Portland State,North American University,91.0,0.0
Eastern Washington,Southeastern Louisiana,40.0,29.0
Texas A&M,Louisiana Monroe,47.0,3.0
San Diego,Princeton,12.0,23.0
California,Idaho,31.0,17.0
Western State,Colorado State-Pueblo,30.0,14.0
Barton College,UVA-Wise,28.0,24.0
Puget Sound,La Verne,21.0,26.0
Montana-Western,Lewis & Clark,48.0,13.0
Alma College,Anderson (IN),60.0,14.0
Christopher Newport,Gettysburg,49.0,17.0
Fort Lewis,New Mexico Highlands,17.0,31.0
Worcester Polytechnic,Rensselaer,0.0,25.0
Kennesaw State,Furman,28.0,31.0
Michigan State,Washington,7.0,41.0
Washington State,Northern Colorado,64.0,21.0
UCLA,North Carolina Central,59.0,7.0
Arkansas-Pine Bluff,Miles,21.0,20.0
Morgan State,Towson,10.0,20.0
Winston-Salem,Elizabeth City State,24.0,7.0
Fort Valley State,Edward Waters,34.0,31.0
Savannah State,Clark Atlanta,28.0,21.0
Rowan,Ursinus,21.0,44.0
Butler,Wabash College,47.0,21.0
Florida A&M,West Florida,31.0,10.0
Charlotte,Georgia State,25.0,41.0
Delaware,St Francis (PA),42.0,14.0
Eastern Kentucky,Western Carolina,24.0,27.0
Merrimack,Virginia Lynchburg,44.0,0.0
Allen,Kentucky State,34.0,30.0
Idaho State,Northern Iowa,17.0,41.0
Brevard College,Averett,14.0,17.0
Chattanooga,The Citadel,48.0,3.0
Wofford,Presbyterian College,20.0,23.0
New Hampshire,Dartmouth,24.0,7.0
Elon,North Carolina A&T,27.0,3.0
Tennessee State,Gardner-Webb,27.0,25.0
Ohio Northern,Heidelberg,14.0,35.0
Wittenberg,Kenyon,56.0,17.0
Slippery Rock,Millersville,42.0,21.0
St. Augustine's,Virginia State,12.0,55.0
Livingstone,Virginia Union,20.0,28.0
Fayetteville State,Lincoln (PA),20.0,17.0
Wingate,Tusculum,21.0,23.0
Newberry,Emory & Henry,25.0,23.0
Johnson C Smith,Bluefield,30.0,13.0
Indianapolis,Wayne State (MI),21.0,7.0
Lenoir-Rhyne,Erskine,62.0,0.0
Catawba,Mars Hill,20.0,35.0
UCF,Villanova,48.0,14.0
UAB,Louisiana,21.0,41.0
Troy,James Madison,14.0,16.0
Toledo,San José State,21.0,17.0
Arkansas Tech,Henderson State,24.0,27.0
Middle Tennessee,Murray State,35.0,14.0
Texas Tech,Tarleton State,41.0,3.0
SMU,Prairie View,69.0,0.0
Rice,Texas Southern,59.0,7.0
Coastal Carolina,Duquesne,66.0,7.0
Arkansas State,Stony Brook,31.0,7.0
Southern,Alabama A&M,20.0,10.0
Austin Peay,East Tennessee State,63.0,3.0
Tennessee Tech,North Alabama,7.0,20.0
UT Martin,Houston Christian,66.0,7.0
Alcorn State,McNeese,17.0,3.0
Northwestern State,Stephen F. Austin,7.0,41.0
Southeast Missouri State,Southern Illinois,25.0,26.0
Western Illinois,Lindenwood,40.0,43.0
Delta State,Mississippi Valley State,35.0,7.0
Florida,Tennessee,29.0,16.0
Cincinnati,Miami (OH),24.0,31.0
Louisiana Tech,North Texas,37.0,40.0
Nebraska,Northern Illinois,35.0,11.0
UNLV,Vanderbilt,40.0,37.0
Oklahoma State,South Alabama,7.0,33.0
Southern Oregon,Willamette,49.0,7.0
Thomas More,Ohio Dominican,18.0,17.0
Case Western Reserve,Grove City College,24.0,27.0
Wayne State (NE),Southwest Minnesota State,49.0,10.0
Northern State,University of Mary,41.0,10.0
Augustana (IL),Elmhurst,74.0,6.0
Lincoln (MO),Washburn,10.0,24.0
Northeastern State,Emporia State,0.0,38.0
North Greenville,West Alabama,23.0,16.0
Valdosta State,Keiser University,49.0,25.0
Kentucky Wesleyan,Walsh,31.0,28.0
Lake Erie College,Findlay,3.0,45.0
Ashland,Hillsdale,38.0,14.0
Southwestern Oklahoma,East Central,13.0,24.0
Ouachita Baptist,Southern Arkansas,52.0,24.0
Northwestern Oklahoma State,Southern Nazarene,29.0,42.0
Ohio Wesleyan,Wooster,49.0,20.0
Texas Lutheran,Ave Maria,14.0,27.0
Harding,Arkansas-Monticello,59.0,19.0
Auburn,Samford,45.0,13.0
Concordia-St. Paul,Augustana (SD),16.0,24.0
Arkansas,BYU,31.0,38.0
Purdue,Syracuse,20.0,35.0
Michigan,Bowling Green,31.0,6.0
West Virginia,Pittsburgh,17.0,6.0
Kentucky,Akron,35.0,3.0
Ole Miss,Georgia Tech,48.0,23.0
West Texas A&M,Midwestern State,23.0,0.0
Stanford,Sacramento State,23.0,30.0
Montana,Ferris State,17.0,10.0
Abilene Christian,Incarnate Word,20.0,27.0
Clemson,Florida Atlantic,48.0,14.0
New Mexico,New Mexico State,17.0,27.0
Texas,Wyoming,31.0,10.0
Oregon,Hawai'i,55.0,10.0
Houston,TCU,13.0,36.0
Black Hills State,Chadron State,55.0,19.0
Fort Hays State,Northwest Missouri State,17.0,6.0
Western New Mexico,Texas A&M-Kingsville,9.0,30.0
Mississippi College,West Georgia,35.0,38.0
Oklahoma Baptist,Southeastern Oklahoma,36.0,3.0
Cal Poly,Lincoln University (CA),41.0,20.0
Texas State,Jackson State,77.0,34.0
Central Washington,Angelo State,27.0,24.0
Colorado,Colorado State,43.0,35.0
UC Davis,Southern Utah,23.0,21.0
Pomona-Pitzer,Pacific (OR),24.0,17.0
Redlands,Linfield,10.0,17.0
Chapman,Whitworth,17.0,24.0
Arizona State,Fresno State,0.0,29.0
Nevada,Kansas,24.0,31.0
Arizona,UTEP,31.0,10.0
Franklin & Marshall,College of New Jersey,34.0,9.0
Coastal Carolina,Georgia State,17.0,30.0
Alabama A&M,Arkansas-Pine Bluff,31.0,24.0
Harvard,Brown,34.0,31.0
Endicott College,Hardin-Simmons,37.0,10.0
Purdue,Wisconsin,17.0,38.0
Virginia,NC State,21.0,24.0
San Diego State,Boise State,31.0,34.0
San José State,Air Force,20.0,45.0
Texas A&M,Auburn,27.0,10.0
Princeton,Bryant,13.0,16.0
St Francis (PA),Sacred Heart,34.0,37.0
Yale,Cornell,21.0,23.0
Stetson,Butler,18.0,28.0
MIT,Salve Regina,7.0,34.0
Framingham State,Westfield State,9.0,8.0
Brockport State (NY),Lycoming,59.0,3.0
Hope,Northwestern (MN),54.0,17.0
Wittenberg,Alma College,28.0,48.0
UMass Dartmouth,Worcester State College,59.0,0.0
Belhaven College,Greensboro,34.0,0.0
Merchant Marine,SUNY Maritime,36.0,19.0
Troy,Western Kentucky,27.0,24.0
Southern Connecticut State,Bentley,6.0,13.0
TCU,SMU,34.0,17.0
Davenport,William Jewell College,55.0,27.0
Marshall,Virginia Tech,24.0,17.0
Millersville,West Chester,23.0,14.0
Shepherd,Kutztown,3.0,20.0
Albion,Wisconsin-Stevens Point,30.0,7.0
Edinboro,California (PA),10.0,31.0
Vanderbilt,Kentucky,28.0,45.0
Syracuse,Army,29.0,16.0
Notre Dame College,Fairmont State,14.0,17.0
Wheeling Jesuit,Concord,44.0,27.0
Albright,FDU-Florham,6.0,14.0
Utica,Curry,31.0,7.0
Clemson,Florida State,24.0,31.0
Walsh,Thomas More,10.0,26.0
Cincinnati,Oklahoma,6.0,20.0
Hiram,Denison,24.0,55.0
Michigan,Rutgers,31.0,7.0
Northern Illinois,Tulsa,14.0,22.0
Columbia,Georgetown,30.0,0.0
Missouri Western,Fort Hays State,28.0,7.0
Alderson-Broaddus,Frostburg State,0.0,0.0
Wesleyan,Middlebury,24.0,21.0
Bowie State,St. Augustine's,10.0,7.0
Central State,Allen,28.0,34.0
Kentucky State,Fort Valley State,9.0,31.0
Misericordia,Alvernia University,35.0,15.0
Delaware Valley,King's College (PA),28.0,0.0
Bowdoin,Williams,20.0,0.0
Union,Montclair State,43.0,7.0
Crown College,Austin College,23.0,34.0
Illinois State,Lindenwood,48.0,17.0
University of New England,Rochester,27.0,29.0
Mass Maritime,Fitchburg State,21.0,3.0
Charleston (WV),WV Wesleyan,76.0,16.0
Northwood (MI),Lake Erie College,68.0,14.0
Lawrence,Minnesota-Morris,22.0,38.0
Amherst College,Hamilton,17.0,14.0
Waynesburg,Westminster PA,20.0,31.0
Furman,Mercer,38.0,14.0
Wayne State (MI),Truman State,7.0,41.0
Shippensburg,Bloomsburg,7.0,0.0
Gannon,Clarion,27.0,20.0
Lock Haven,East Stroudsburg,21.0,35.0
Carson-Newman,Lenoir-Rhyne,7.0,24.0
DePauw,Ohio Wesleyan,28.0,7.0
Wooster,Kenyon,70.0,21.0
Greenville,Adrian,38.0,35.0
Colby,Trinity (CT),7.0,48.0
Centre,Berry College,16.0,49.0
Mercyhurst,Indiana (PA),13.0,30.0
Mars Hill,Barton College,16.0,14.0
Lebanon Valley,Eastern University,45.0,7.0
Allegheny,Bethany (WV),31.0,20.0
Alfred State College,Hilbert College,48.0,7.0
Fordham,Stonehill,44.0,0.0
Valparaiso,Marist,30.0,36.0
Catholic University,Alfred,6.0,9.0
Susquehanna,Western New England,26.0,18.0
Methodist,Southern Virginia,27.0,21.0
LaGrange College,Huntingdon,6.0,41.0
Emory & Henry,Wingate,10.0,31.0
West Liberty,UNC Pembroke,19.0,37.0
Northwest Missouri State,Lincoln (MO),59.0,0.0
Washington & Jefferson,Thiel College,56.0,14.0
Dartmouth,Lehigh,34.0,17.0
Toledo,Western Michigan,49.0,31.0
Marietta,Otterbein,50.0,0.0
Heidelberg,John Carroll,7.0,34.0
Ohio Northern,Baldwin-Wallace,21.0,31.0
Hanover,Trine,38.0,14.0
Mount Union,Muskingum,74.0,7.0
VMI,Wofford,17.0,14.0
UVA-Wise,Limestone,17.0,38.0
Quincy,Northern Michigan,45.0,27.0
Rockford,Lakeland University,20.0,41.0
Benedictine (IL),Concordia (IL),48.0,14.0
Eureka College,St. Norbert,21.0,17.0
Concordia (WI),Wisconsin Lutheran,41.0,0.0
St. Olaf College,Macalester,38.0,13.0
St. Scholastica,Concordia (MN),16.0,49.0
New Mexico Highlands,South Dakota Mines,7.0,42.0
St. Johns (MN),Bethel (MN),27.0,7.0
Edward Waters,Morehouse,44.0,13.0
Luther,Central,16.0,41.0
Dubuque,Loras College,35.0,23.0
Simpson College,Wartburg,0.0,63.0
Carroll (WI),Illinois Wesleyan,70.0,23.0
St Lawrence,Castleton State College,28.0,0.0
Washington (MO),Carthage,38.0,7.0
Villanova,Rhode Island,35.0,9.0
Gustavus Adolphus,Augsburg,31.0,33.0
Norwich,Worcester Polytechnic,17.0,38.0
Southwestern University,Birmingham-Southern,43.0,20.0
Holy Cross,Colgate,47.0,7.0
Coe,Nebraska Wesleyan University,56.0,6.0
Wabash College,Oberlin,59.0,6.0
Saginaw Valley,Indianapolis,10.0,35.0
Upper Iowa,Michigan Tech,31.0,34.0
Ball State,Georgia Southern,3.0,40.0
Chadron State,Western State,17.0,35.0
Moravian,Morrisville State,19.0,20.0
Carleton,Hamline,31.0,27.0
Washburn,Central Missouri State,28.0,58.0
Lyon College,Westminster,30.0,7.0
Emporia State,Central Oklahoma,38.0,27.0
Sioux Falls,Minot State,7.0,0.0
Tuskegee,Lane,28.0,22.0
North Park,Millikin,38.0,0.0
Augustana (SD),Minnesota St-Moorhead,31.0,27.0
Minnesota State,Concordia-St. Paul,42.0,10.0
Southwest Minnesota State,Minnesota-Duluth,0.0,33.0
Winona State,Northern State,39.0,16.0
St. Thomas (MN),Morehead State,35.0,28.0
Western Carolina,Charleston Southern,77.0,21.0
Chowan,Benedict College,3.0,31.0
Missouri State,Utah Tech,59.0,14.0
Southern Nazarene,Southwestern Oklahoma,41.0,7.0
Missouri Southern State,Northeastern State,42.0,0.0
Samford,Chattanooga,24.0,47.0
North Carolina Central,Mississippi Valley State,45.0,3.0
Robert Morris,Virginia Lynchburg,46.0,0.0
Eastern Illinois,McNeese,31.0,28.0
University of Mary,Bemidji State,10.0,41.0
Seton Hill College,Slippery Rock,14.0,35.0
Colorado Mesa,Black Hills State,23.0,25.0
Elmhurst,North Central,6.0,59.0
Albany State (GA),Savannah State,15.0,12.0
Pittsburg State,Nebraska-Kearney,33.0,14.0
Grambling,Texas Southern,35.0,23.0
Shenandoah,Juniata,48.0,7.0
Nichols,Hartwick,52.0,3.0
Millsaps,Hendrix College,42.0,53.0
Husson,Anna Maria College,50.0,49.0
Michigan State,Maryland,9.0,31.0
Connecticut,Duke,7.0,41.0
Springfield,Coast Guard,63.0,14.0
Louisville,Boston College,56.0,28.0
West Virginia,Texas Tech,20.0,13.0
Temple,Miami,7.0,41.0
Utah,UCLA,14.0,7.0
Kansas,BYU,38.0,27.0
Oregon,Colorado,42.0,6.0
Bucknell,Pennsylvania,21.0,37.0
Stony Brook,Richmond,19.0,20.0
Illinois,Florida Atlantic,23.0,17.0
William & Mary,Maine,28.0,3.0
Lafayette,Monmouth,28.0,20.0
Alabama,Ole Miss,24.0,10.0
Miami (OH),Delaware State,62.0,20.0
Nebraska,Louisiana Tech,28.0,14.0
Bowling Green,Ohio,7.0,38.0
Old Dominion,Texas A&M-Commerce,10.0,9.0
UMass,New Mexico,31.0,34.0
Towson,Norfolk State,14.0,21.0
Wagner,Merrimack,30.0,27.0
Portland State,Cal Poly,59.0,21.0
Tennessee,UT San Antonio,45.0,14.0
Iowa State,Oklahoma State,34.0,27.0
Northern Arizona,Montana,28.0,14.0
Idaho,Sacramento State,36.0,27.0
Tusculum,Catawba,35.0,21.0
St. John Fisher,Wilkes,29.0,20.0
Tiffin,Ashland,55.0,30.0
American International,Pace,14.0,24.0
Claremont,Cal Lutheran,49.0,28.0
South Florida,Rice,42.0,29.0
Bridgewater State,Western Connecticut State,35.0,28.0
Hillsdale,Findlay,21.0,31.0
Colorado State-Pueblo,Colorado Mines,14.0,55.0
Western Oregon,Central Washington,7.0,17.0
St. Anselm,Post University,42.0,21.0
Rensselaer,Dean College,63.0,0.0
Trinity (TX),Rhodes,63.0,14.0
Miles,Clark Atlanta,55.0,14.0
Brevard College,Maryville TN,37.0,35.0
San Diego,Dayton,40.0,25.0
South Alabama,Central Michigan,30.0,34.0
Jacksonville State,Eastern Michigan,21.0,0.0
Delaware,New Hampshire,29.0,25.0
Eastern Kentucky,Southeast Missouri State,41.0,38.0
Idaho State,Northern Colorado,35.0,21.0
Campbell,Elon,24.0,28.0
Morgan State,Albany,17.0,23.0
South Carolina State,The Citadel,31.0,10.0
Florida A&M,Alabama State,23.0,10.0
Erskine,Newberry,17.0,24.0
Franklin Pierce,New Haven,14.0,41.0
Virginia Union,Fayetteville State,7.0,10.0
Hobart,Keystone,43.0,10.0
Virginia State,Livingstone,33.0,0.0
West Virginia State,Glenville State,31.0,21.0
Winston-Salem,Bluefield,30.0,0.0
West Florida,West Georgia,49.0,21.0
East Carolina,Gardner-Webb,44.0,0.0
Tufts,Bates College,44.0,16.0
Florida International,Liberty,6.0,38.0
Wake Forest,Georgia Tech,16.0,30.0
Stanford,Arizona,20.0,21.0
Arkansas State,Southern Mississippi,44.0,37.0
Texas State,Nevada,35.0,24.0
Tennessee Tech,Kennesaw State,17.0,7.0
North Alabama,UT Martin,21.0,37.0
Central Arkansas,Abilene Christian,52.0,17.0
Florida,Charlotte,22.0,7.0
Stephen F. Austin,Austin Peay,20.0,22.0
Alcorn State,Prairie View,20.0,23.0
Jackson State,Bethune-Cookman,22.0,16.0
Washington State,Oregon State,38.0,35.0
LSU,Arkansas,34.0,31.0
Tarleton State,Southwest Baptist,27.0,13.0
Lamar,Lincoln University (CA),38.0,0.0
Case Western Reserve,Geneva College,42.0,7.0
Wheaton College (Ill),Augustana (IL),41.0,34.0
Incarnate Word,North American University,63.0,3.0
Wyoming,Appalachian State,22.0,19.0
Middle Tennessee,Colorado State,23.0,31.0
Houston,Sam Houston State,38.0,7.0
University of Texas of the Permian Basin,West Texas A&M,41.0,40.0
Angelo State,Western New Mexico,62.0,9.0
West Alabama,Mississippi College,10.0,7.0
Valdosta State,North Greenville,28.0,3.0
Delta State,Shorter,56.0,20.0
Kentucky Wesleyan,Ohio Dominican,13.0,10.0
East Central,Oklahoma Baptist,15.0,23.0
Southeastern Oklahoma,Northwestern Oklahoma State,41.0,2.0
Tulane,Nicholls,36.0,7.0
Henderson State,Harding,16.0,27.0
Davidson,St. Andrews,84.0,6.0
Southeastern Louisiana,Houston Christian,19.0,34.0
Arkansas-Monticello,Ouachita Baptist,25.0,45.0
Missouri S&T,Wayne State (NE),35.0,38.0
Southern Arkansas,Arkansas Tech,49.0,3.0
Lincoln (PA),Johnson C Smith,20.0,27.0
Grove City College,Carnegie Mellon,21.0,14.0
Wilmington (OH),Capital,49.0,24.0
Mary Hardin-Baylor,McMurry,50.0,9.0
Notre Dame,Ohio State,14.0,17.0
Penn State,Iowa,31.0,0.0
South Carolina,Mississippi State,37.0,30.0
Indiana,Akron,29.0,27.0
Georgia,UAB,49.0,21.0
Baylor,Texas,6.0,38.0
Missouri,Memphis,34.0,27.0
Northwestern,Minnesota,37.0,34.0
Louisiana,Buffalo,45.0,38.0
Pittsburgh,North Carolina,24.0,41.0
Utah State,James Madison,38.0,45.0
Kansas State,UCF,44.0,31.0
Weber State,Montana State,0.0,40.0
Adams State,Fort Lewis,25.0,24.0
Midwestern State,Eastern New Mexico,34.0,31.0
Southern Utah,Western Illinois,37.0,17.0
UTEP,UNLV,28.0,45.0
Chapman,Redlands,21.0,38.0
UC Davis,Eastern Washington,24.0,27.0
Pomona-Pitzer,La Verne,34.0,7.0
Fresno State,Kent State,53.0,10.0
Arizona State,USC,28.0,42.0
Washington,California,59.0,32.0
Hawai'i,New Mexico State,20.0,17.0
Stevenson,Widener,49.0,7.0
Elizabeth City State,Shaw,17.0,20.0
Apprentice School,Washington & Lee,9.0,28.0
Tulsa,Temple,48.0,26.0
Western Kentucky,Middle Tennessee,31.0,10.0
Sam Houston State,Jacksonville State,28.0,35.0
Husson,Dean College,75.0,17.0
American International,New Haven,14.0,33.0
Princeton,Columbia,10.0,7.0
Ursinus,Muhlenberg,20.0,28.0
Dickinson,Franklin & Marshall,19.0,17.0
NC State,Louisville,10.0,13.0
Oregon State,Utah,21.0,7.0
UTEP,Louisiana Tech,10.0,24.0
BYU,Cincinnati,35.0,27.0
Kentucky,Florida,33.0,14.0
Akron,Buffalo,10.0,13.0
Connecticut,Utah State,33.0,34.0
Syracuse,Clemson,14.0,31.0
SUNY Maritime,Norwich,24.0,21.0
Colorado,USC,41.0,48.0
Shorter,Mississippi College,14.0,30.0
Minnesota,Louisiana,35.0,24.0
James Madison,South Alabama,31.0,23.0
Tulane,UAB,35.0,23.0
UNC Pembroke,Wheeling Jesuit,41.0,20.0
Millersville,Lock Haven,31.0,38.0
Worcester Polytechnic,Springfield,10.0,42.0
Olivet College,Alfred State College,40.0,19.0
Assumption,Pace,36.0,22.0
Southern Connecticut State,St. Anselm,6.0,3.0
California (PA),Clarion,37.0,7.0
Kutztown,East Stroudsburg,34.0,27.0
Shepherd,Shippensburg,30.0,23.0
Salve Regina,Merchant Marine,35.0,17.0
Westfield State,Mass Maritime,17.0,10.0
NC Wesleyan,Belhaven College,14.0,35.0
Limestone,Mars Hill,27.0,23.0
Fitchburg State,Bridgewater State,14.0,38.0
Wilkes,Juniata,63.0,14.0
Plymouth State,Framingham State,14.0,24.0
Robert Morris,Howard,10.0,35.0
Yale,Morgan State,45.0,3.0
Brown,Central Connecticut,42.0,20.0
Long Island University,Duquesne,28.0,31.0
Davidson,San Diego,55.0,33.0
Northwestern,Penn State,13.0,41.0
Arkansas,Texas A&M,22.0,34.0
William Paterson,Kean,21.0,9.0
Bluefield,Fayetteville State,18.0,28.0
St. Augustine's,Virginia Union,7.0,47.0
Shaw,Virginia State,19.0,38.0
Chowan,Valdosta State,36.0,51.0
Oberlin,DePauw,7.0,66.0
Delaware State,Virginia Lynchburg,48.0,10.0
